city,count,percent
Mentor on the Lake,1,0.04
Miamisburg,4,0.16
Middletown,1,0.04
Milford,16,0.64
Millfield,1,0.04
Mineral Ridge,1,0.04
Minerva Park,1,0.04
Mogadore,2,0.08
Moncks Corner,1,0.04
Monclova,1,0.04
Monroe Falls,1,0.04
Montgomery,1,0.04
Moreland Hills,3,0.12
Moscow,1,0.04
Mount Vernon,1,0.04
Munroe Falls,4,0.16
N. Ridgeville,2,0.08
Nelsonville,1,0.04
New Albany,3,0.12
New Carlisle,2,0.08
New Franklin,2,0.08
New Lebanon,2,0.08
Newark,14,0.56
Newport,1,0.04
North Canton,7,0.28
North Olmsted,12,0.48
North Ridgeville,1,0.04
North Royalton,2,0.08
Northfield,1,0.04
Northwood,1,0.04
Oakwood,1,0.04
Oberlin,117,4.71
Olmsted Falls,1,0.04
Orange Village,1,0.04
Oregon,1,0.04
Orrville,1,0.04
Ostrander,1,0.04
Ottawa Hills,3,0.12
Owensville,2,0.08
Oxford,72,2.9
Painesville,3,0.12
Painesville Twp.,1,0.04
Parma,2,0.08
Pataskala,2,0.08
Pemberville,1,0.04
Peninsula,5,0.2
Pepper Pike,4,0.16
Perryaburg,1,0.04
Perrysbug,1,0.04
Perrysburg,51,2.05
Pickerington,1,0.04
Piketon,1,0.04
Poland,8,0.32
Port Clinton,1,0.04
Portsmouth,3,0.12
Powell,3,0.12
Radnor,1,0.04
Ravenna,8,0.32
Reminderville,1,0.04
Republic,1,0.04
Reynoldsburg,1,0.04
Richfield,1,0.04
Richmond Hts.,1,0.04
Roaming Shores,1,0.04
Rocky River,23,0.93
Rootstown,1,0.04
Rossford,1,0.04
Rudolph,1,0.04
Russell Twp.,1,0.04
Sagamore Hills,3,0.12
Seven Hills,1,0.04
Shaker Heights,120,4.83
Shaker Hts,7,0.28
Shaker Hts.,2,0.08
Sheffield Lake,1,0.04
Smithville,1,0.04
Solon,2,0.08
Somerville,1,0.04
South Bloomingville,1,0.04
South Euclid,8,0.32
Spring Valley,1,0.04
Springboro,2,0.08
Springfield,2,0.08
Stow,10,0.4
Streetsboro,3,0.12
Strongsville,4,0.16
Struthers,2,0.08
Swanton,1,0.04
Sylvania,14,0.56
Tallmadge,27,1.09
Terrace Park,2,0.08
Thornville,1,0.04
Tiffin,16,0.64
Tipp City,1,0.04
Toledo,43,1.73
Trotwood,1,0.04
Troy,3,0.12
Trumbull,1,0.04
Uniontown,4,0.16
Unionville,1,0.04
University Heights,13,0.52
Upper Arlington,7,0.28
Upper Sandsky,1,0.04
Vandalia,1,0.04
Vienna,1,0.04
W. Salem,1,0.04
Wapakoneta,1,0.04
Warren,10,0.4
Washington Court House,1,0.04
Waterville,6,0.24
Wauseon,1,0.04
Waynesville,1,0.04
Wellington,2,0.08
West Carrollton,2,0.08
West Chester,1,0.04
West Farmington,2,0.08
West Portsmojuth,1,0.04
West Portsmouth,1,0.04
Westerville,18,0.73
Westlake,18,0.73
Weston,1,0.04
Wheelersburg,1,0.04
Whitehall,1,0.04
Wickliffe,3,0.12
Williamsburg,2,0.08
Willoughby,5,0.2
Willoughby Hills,3,0.12
Willowick,1,0.04
Wooster,35,1.41
Worthington,22,0.89
Wyoming,1,0.04
Xenia,5,0.2
Yellow Springs,4,0.16
Yougstown,1,0.04
Youngstown,27,1.09
,,
Total,"2,482",100
